director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Chris Columbus,Hugh Grant,Julianne Moore,Tom Arnold,Comedy,nine months,Hugh Grant Julianne Moore Tom Arnold Chris Columbus Comedy
Gregory Widen,Christopher Walken,Elias Koteas,Virginia Madsen,Fantasy Horror Thriller,the prophecy,Christopher Walken Elias Koteas Virginia Madsen Gregory Widen Fantasy Horror Thriller
Paul Verhoeven,Elizabeth Berkley,Kyle MacLachlan,Gina Gershon,Drama,showgirls,Elizabeth Berkley Kyle MacLachlan Gina Gershon Paul Verhoeven Drama
Wayne Wang Paul Auster,Harvey Keitel,William Hurt,Giancarlo Esposito,Comedy Drama,smoke,Harvey Keitel William Hurt Giancarlo Esposito Wayne Wang Paul Auster Comedy Drama
Lasse Hallström,Julia Roberts,Dennis Quaid,Robert Duvall,Comedy,something to talk about,Julia Roberts Dennis Quaid Robert Duvall Lasse Hallström Comedy
Roger Donaldson,Natasha Henstridge,Ben Kingsley,Michael Madsen,Sci-Fi Horror Action,species,Natasha Henstridge Ben Kingsley Michael Madsen Roger Donaldson Sci-Fi Horror Action
James Keach,Robert Duvall,Aidan Quinn,Frances Fisher,Drama,the stars fell on henrietta,Robert Duvall Aidan Quinn Frances Fisher James Keach Drama
Kathryn Bigelow,Ralph Fiennes,Angela Bassett,Tom Sizemore,Crime Drama Sci-Fi Thriller,strange days,Ralph Fiennes Angela Bassett Tom Sizemore Kathryn Bigelow Crime Drama Sci-Fi Thriller
Jacques Demy,Catherine Deneuve,Nino Castelnuovo,Anne Vernon,Drama Romance,the umbrellas of cherbourg,Catherine Deneuve Nino Castelnuovo Anne Vernon Jacques Demy Drama Romance
Wesley Strick,Daryl Hannah,Keith Carradine,Moira Kelly,Thriller,the tie that binds,Daryl Hannah Keith Carradine Moira Kelly Wesley Strick Thriller
Martha Coolidge,Patrick Swayze,Mary Elizabeth Mastrantonio,Joseph Mazzello,Drama Fantasy,three wishes,Patrick Swayze Mary Elizabeth Mastrantonio Joseph Mazzello Martha Coolidge Drama Fantasy
Agnieszka Holland,Leonardo DiCaprio,David Thewlis,Romane Bohringer,Drama Romance,total eclipse,Leonardo DiCaprio David Thewlis Romane Bohringer Agnieszka Holland Drama Romance
Beeban Kidron,Patrick Swayze,Wesley Snipes,John Leguizamo,Comedy,"to wong foo, thanks for everything! julie newmar",Patrick Swayze Wesley Snipes John Leguizamo Beeban Kidron Comedy
Geoff Murphy,Steven Seagal,Eric Bogosian,Everett McGill,Action Thriller,under siege 2: dark territory,Steven Seagal Eric Bogosian Everett McGill Geoff Murphy Action Thriller
Diane Keaton,Andie MacDowell,John Turturro,Michael Richards,Comedy Drama Family,unstrung heroes,Andie MacDowell John Turturro Michael Richards Diane Keaton Comedy Drama Family
Douglas Keeve,Sandra Bernhard,Isaac Mizrahi,Naomi Campbell,Documentary,unzipped,Sandra Bernhard Isaac Mizrahi Naomi Campbell Douglas Keeve Documentary
Alfonso Aráu,Keanu Reeves,Aitana Sánchez-Gijón,Anthony Quinn,Drama Romance,a walk in the clouds,Keanu Reeves Aitana Sánchez-Gijón Anthony Quinn Alfonso Aráu Drama Romance
Kevin Reynolds,Kevin Costner,Chaim Girafi,Rick Aviles,Adventure Action,waterworld,Kevin Costner Chaim Girafi Rick Aviles Kevin Reynolds Adventure Action
Desmond Nakano,John Travolta,Harry Belafonte,Kelly Lynch,Drama,white man's burden,John Travolta Harry Belafonte Kelly Lynch Desmond Nakano Drama
Greg Beeman,Daniel Stern,Jon Polito,Brad Sullivan,Adventure Action Comedy Crime Family,bushwhacked,Daniel Stern Jon Polito Brad Sullivan Greg Beeman Adventure Action Comedy Crime Family
Nikita Mikhalkov,Nikita Mikhalkov,Oleg Menshikov,Ingeborga Dapkunaite,Drama,burnt by the sun,Nikita Mikhalkov Oleg Menshikov Ingeborga Dapkunaite Nikita Mikhalkov Drama
Mil?o Man?evski,Katrin Cartlidge,Rade Serbedzija,Grégoire Colin,Drama War,before the rain,Katrin Cartlidge Rade Serbedzija Grégoire Colin Mil?o Man?evski Drama War
Richard Linklater,Ethan Hawke,Julie Delpy,Andrea Eckert,Drama Romance,before sunrise,Ethan Hawke Julie Delpy Andrea Eckert Richard Linklater Drama Romance
Tamra Davis,Adam Sandler,Darren McGavin,Bridgette Wilson,Comedy,billy madison,Adam Sandler Darren McGavin Bridgette Wilson Tamra Davis Comedy
Guy Ferland,Alicia Silverstone,Jeremy London,J.T. Walsh,Drama Thriller,the babysitter,Alicia Silverstone Jeremy London J.T. Walsh Guy Ferland Drama Thriller
Herbert Ross,Whoopi Goldberg,Mary-Louise Parker,Drew Barrymore,Comedy Drama,boys on the side,Whoopi Goldberg Mary-Louise Parker Drew Barrymore Herbert Ross Comedy Drama
Stuart Gordon,Jeffrey Combs,Barbara Crampton,Jonathan Fuller,Thriller Drama Horror Mystery,castle freak,Jeffrey Combs Barbara Crampton Jonathan Fuller Stuart Gordon Thriller Drama Horror Mystery
Pat O'Connor,Chris O'Donnell,Minnie Driver,Geraldine O'Rawe,Drama Family Romance,circle of friends,Chris O'Donnell Minnie Driver Geraldine O'Rawe Pat O'Connor Drama Family Romance
Kevin Smith,Brian O'Halloran,Jeff Anderson,Jason Mewes,Comedy,clerks,Brian O'Halloran Jeff Anderson Jason Mewes Kevin Smith Comedy
Jeremy Leven,Johnny Depp,Marlon Brando,Faye Dunaway,Romance Drama Comedy,don juan demarco,Johnny Depp Marlon Brando Faye Dunaway Jeremy Leven Romance Drama Comedy
Barry Levinson,Michael Douglas,Demi Moore,Donald Sutherland,Drama Thriller Crime Mystery Romance,disclosure,Michael Douglas Demi Moore Donald Sutherland Barry Levinson Drama Thriller Crime Mystery Romance
René Bonnière,Patsy Kensit,Bruce Greenwood,Andrew McCarthy,Thriller,dream man,Patsy Kensit Bruce Greenwood Andrew McCarthy René Bonnière Thriller
John Badham,Wesley Snipes,Gary Busey,Yancy Butler,Action Adventure Thriller,drop zone,Wesley Snipes Gary Busey Yancy Butler John Badham Action Adventure Thriller
Jack Baran,Dylan McDermott,Nancy Travis,James Le Gros,Crime Comedy Fantasy,destiny turns on the radio,Dylan McDermott Nancy Travis James Le Gros Jack Baran Crime Comedy Fantasy
Roman Polanski,Sigourney Weaver,Ben Kingsley,Stuart Wilson,Drama Thriller Mystery,death and the maiden,Sigourney Weaver Ben Kingsley Stuart Wilson Roman Polanski Drama Thriller Mystery
Taylor Hackford,Kathy Bates,Jennifer Jason Leigh,Judy Parfitt,Crime Drama Mystery,dolores claiborne,Kathy Bates Jennifer Jason Leigh Judy Parfitt Taylor Hackford Crime Drama Mystery
Peter Farrelly Bobby Farrelly,Jim Carrey,Jeff Daniels,Lauren Holly,Comedy,dumb and dumber,Jim Carrey Jeff Daniels Lauren Holly Peter Farrelly Bobby Farrelly Comedy
Ang Lee,Sihung Lung,Yu-Wen Wang,Jacklyn Wu ,Comedy Drama Romance,eat drink man woman,Sihung Lung Yu-Wen Wang Jacklyn Wu  Ang Lee Comedy Drama Romance
Atom Egoyan,Bruce Greenwood,Mia Kirshner,Elias Koteas,Drama Mystery,exotica,Bruce Greenwood Mia Kirshner Elias Koteas Atom Egoyan Drama Mystery
Garry Marshall,Dana Delany,Paul Mercurio,Rosie O'Donnell,Thriller Comedy Crime Romance,exit to eden,Dana Delany Paul Mercurio Rosie O'Donnell Garry Marshall Thriller Comedy Crime Romance
Tim Burton,Johnny Depp,Martin Landau,Sarah Jessica Parker,Comedy Drama History,ed wood,Johnny Depp Martin Landau Sarah Jessica Parker Tim Burton Comedy Drama History
Lawrence Kasdan,Meg Ryan,Kevin Kline,Timothy Hutton,Comedy Romance,french kiss,Meg Ryan Kevin Kline Timothy Hutton Lawrence Kasdan Comedy Romance
Billy Crystal,Billy Crystal,Debra Winger,Joe Mantegna,Comedy Drama Romance,forget paris,Billy Crystal Debra Winger Joe Mantegna Billy Crystal Comedy Drama Romance
Phillip Borsos,Mimi Rogers,Jesse Bradford,Bruce Davison,Action Adventure Drama Family,far from home: the adventures of yellow dog,Mimi Rogers Jesse Bradford Bruce Davison Phillip Borsos Action Adventure Drama Family
Kevin Lima Paul Brizzi,Bill Farmer,Jason Marsden,Rob Paulsen,Romance Animation Family Comedy Adventure,a goofy movie,Bill Farmer Jason Marsden Rob Paulsen Kevin Lima Paul Brizzi Romance Animation Family Comedy Adventure
Brett Leonard,Jeff Goldblum,Christine Lahti,Alicia Silverstone,Drama Thriller,hideaway,Jeff Goldblum Christine Lahti Alicia Silverstone Brett Leonard Drama Thriller
Gérard Corbiau,Stefano Dionisi,Enrico Lo Verso,Elsa Zylberstein,History Drama,farinelli,Stefano Dionisi Enrico Lo Verso Elsa Zylberstein Gérard Corbiau History Drama
Charles Burnett,Ice Cube,Lori Petty,Erich Anderson,Drama Action Thriller Crime,the glass shield,Ice Cube Lori Petty Erich Anderson Charles Burnett Drama Action Thriller Crime
Steve James,William Gates,Arthur Agee,Steve James,Documentary,hoop dreams,William Gates Arthur Agee Steve James Steve James Documentary
Peter Jackson,Melanie Lynskey,Kate Winslet,Sarah Peirse,Drama Fantasy,heavenly creatures,Melanie Lynskey Kate Winslet Sarah Peirse Peter Jackson Drama Fantasy
Randall Miller,Sinbad,Phil Hartman,Jeffrey Jones,Comedy Family,houseguest,Sinbad Phil Hartman Jeffrey Jones Randall Miller Comedy Family
Bernard Rose,Gary Oldman,Jeroen Krabbé,Isabella Rossellini,Drama Music Romance,immortal beloved,Gary Oldman Jeroen Krabbé Isabella Rossellini Bernard Rose Drama Music Romance
Fred Schepisi,Tim Robbins,Meg Ryan,Walter Matthau,Comedy Drama Romance,i.q.,Tim Robbins Meg Ryan Walter Matthau Fred Schepisi Comedy Drama Romance
Neil Jordan,Brad Pitt,Tom Cruise,Kirsten Dunst,Horror Romance,interview with the vampire,Brad Pitt Tom Cruise Kirsten Dunst Neil Jordan Horror Romance
James Ivory,Nick Nolte,Greta Scacchi,Thandie Newton,Drama Romance,jefferson in paris,Nick Nolte Greta Scacchi Thandie Newton James Ivory Drama Romance
James Melkonian,John G. Brennan,Kamal Ahmed,Alan Arkin,Comedy Crime,the jerky boys,John G. Brennan Kamal Ahmed Alan Arkin James Melkonian Comedy Crime
Arne Glimcher,Sean Connery,Laurence Fishburne,Blair Underwood,Action Drama Mystery Thriller,just cause,Sean Connery Laurence Fishburne Blair Underwood Arne Glimcher Action Drama Mystery Thriller
Michael Gottlieb,Thomas Ian Nicholas,Joss Ackland,Art Malik,Adventure Fantasy Comedy Sci-Fi Family,a kid in king arthur's court,Thomas Ian Nicholas Joss Ackland Art Malik Michael Gottlieb Adventure Fantasy Comedy Sci-Fi Family
George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Adventure Action Sci-Fi,star wars,Mark Hamill Harrison Ford Carrie Fisher George Lucas Adventure Action Sci-Fi
Ken Loach,Crissy Rock,Vladimir Vega,Sandie Lavelle,Drama,ladybird ladybird,Crissy Rock Vladimir Vega Sandie Lavelle Ken Loach Drama
Claude Chabrol,Emmanuelle Béart,François Cluzet,Nathalie Cardone,Crime Drama,l'enfer,Emmanuelle Béart François Cluzet Nathalie Cardone Claude Chabrol Crime Drama
Alfonso Aráu,Marco Leonardi,Lumi Cavazos,Regina Torné,Drama Romance,like water for chocolate,Marco Leonardi Lumi Cavazos Regina Torné Alfonso Aráu Drama Romance
Edward Zwick,Brad Pitt,Anthony Hopkins,Aidan Quinn,Adventure Drama Romance War,legends of the fall,Brad Pitt Anthony Hopkins Aidan Quinn Edward Zwick Adventure Drama Romance War
Nick Castle,Damon Wayans,Orlando Brown,Michael Ironside,Adventure Comedy Family,major payne,Damon Wayans Orlando Brown Michael Ironside Nick Castle Adventure Comedy Family
James Gray,Edward Furlong,Tim Roth,Moira Kelly,Action Drama,little odessa,Edward Furlong Tim Roth Moira Kelly James Gray Action Drama
Allison Anders,Angel Aviles,Seidy López,Jacob Vargas,Crime Drama,mi vida loca,Angel Aviles Seidy López Jacob Vargas Allison Anders Crime Drama
Stephen Gyllenhaal,Jessica Lange,Halle Berry,David Strathairn,Drama,losing isaiah,Jessica Lange Halle Berry David Strathairn Stephen Gyllenhaal Drama
Nicholas Hytner,Nigel Hawthorne,Helen Mirren,Ian Holm,Comedy Drama History,the madness of king george,Nigel Hawthorne Helen Mirren Ian Holm Nicholas Hytner Comedy Drama History
Kenneth Branagh,Robert De Niro,Kenneth Branagh,Tom Hulce,Drama Horror Sci-Fi Romance,mary shelley's frankenstein,Robert De Niro Kenneth Branagh Tom Hulce Kenneth Branagh Drama Horror Sci-Fi Romance
Nora Ephron,Steve Martin,Madeline Kahn,Robert Klein,Comedy Drama Romance,mixed nuts,Steve Martin Madeline Kahn Robert Klein Nora Ephron Comedy Drama Romance
Richard Benjamin,Melanie Griffith,Ed Harris,Michael Patrick Carter,Comedy Romance,milk money,Melanie Griffith Ed Harris Michael Patrick Carter Richard Benjamin Comedy Romance
David Frankel,Sarah Jessica Parker,Antonio Banderas,Mia Farrow,Comedy Romance,miami rhapsody,Sarah Jessica Parker Antonio Banderas Mia Farrow David Frankel Comedy Romance
Gregory Nava,Edward James Olmos,Jimmy Smits,Esai Morales,Comedy Drama,my family,Edward James Olmos Jimmy Smits Esai Morales Gregory Nava Comedy Drama
Marc Rocco,Christian Slater,Kevin Bacon,Gary Oldman,Crime Drama,murder in the first,Christian Slater Kevin Bacon Gary Oldman Marc Rocco Crime Drama
Michael Apted,Jodie Foster,Liam Neeson,Natasha Richardson,Drama Thriller,nell,Jodie Foster Liam Neeson Natasha Richardson Michael Apted Drama Thriller
Nick Gomez,Sharron Corley,Donald Faison,Christine Baranski,Crime Drama,new jersey drive,Sharron Corley Donald Faison Christine Baranski Nick Gomez Crime Drama
T?ru Murakawa,Toru Nakamura,Chad McQueen,Mira Sorvino,Action Thriller Crime Drama,new york cop,Toru Nakamura Chad McQueen Mira Sorvino T?ru Murakawa Action Thriller Crime Drama
Vadim Jean,Elizabeth Hurley,Craig Fairbrass,Keith Allen,Horror,beyond bedlam,Elizabeth Hurley Craig Fairbrass Keith Allen Vadim Jean Horror
Albert Pyun,Sue Price,Chad Stahelski,Tina Cote,Sci-Fi Action Thriller,nemesis 2 - nebula,Sue Price Chad Stahelski Tina Cote Albert Pyun Sci-Fi Action Thriller
Alan Jacobs,Laura San Giacomo,Michael O'Keefe,Paul Rhys,Drama Romance,nina takes a lover,Laura San Giacomo Michael O'Keefe Paul Rhys Alan Jacobs Drama Romance
Oliver Stone,Woody Harrelson,Juliette Lewis,Robert Downey Jr.,Crime Thriller Drama,natural born killers,Woody Harrelson Juliette Lewis Robert Downey Jr. Oliver Stone Crime Thriller Drama
Norman Jewison,Marisa Tomei,Robert Downey Jr.,Bonnie Hunt,Comedy Drama Romance,only you,Marisa Tomei Robert Downey Jr. Bonnie Hunt Norman Jewison Comedy Drama Romance
Lee Tamahori,Rena Owen,Temuera Morrison,Mamaengaroa Kerr-Bell,Drama,once were warriors,Rena Owen Temuera Morrison Mamaengaroa Kerr-Bell Lee Tamahori Drama
Anne Goursaud,Alyssa Milano,Johnathon Schaech,Xander Berkeley,Drama Romance Thriller,poison ivy ii: lily,Alyssa Milano Johnathon Schaech Xander Berkeley Anne Goursaud Drama Romance Thriller
Wolfgang Petersen,Dustin Hoffman,Rene Russo,Morgan Freeman,Action Drama Sci-Fi Thriller,outbreak,Dustin Hoffman Rene Russo Morgan Freeman Wolfgang Petersen Action Drama Sci-Fi Thriller
Luc Besson,Jean Reno,Natalie Portman,Gary Oldman,Thriller Crime Drama,leon: the professional,Jean Reno Natalie Portman Gary Oldman Luc Besson Thriller Crime Drama
Mira Nair,Marisa Tomei,Alfred Molina,Anjelica Huston,Comedy Drama Romance,the perez family,Marisa Tomei Alfred Molina Anjelica Huston Mira Nair Comedy Drama Romance
Joshua Brand,William Baldwin,John Leguizamo,????? ???????,Comedy Drama Romance,a pyromaniac's love story,William Baldwin John Leguizamo ????? ??????? Joshua Brand Comedy Drama Romance
Quentin Tarantino,John Travolta,Samuel L. Jackson,Uma Thurman,Thriller Crime,pulp fiction,John Travolta Samuel L. Jackson Uma Thurman Quentin Tarantino Thriller Crime
Mario Van Peebles,Kadeem Hardison,Bokeem Woodbine,Courtney B. Vance,Drama,panther,Kadeem Hardison Bokeem Woodbine Courtney B. Vance Mario Van Peebles Drama
Ang Lee,Sihung Lung,Wang Lai,Bo Z. Wang,Comedy Drama,pushing hands,Sihung Lung Wang Lai Bo Z. Wang Ang Lee Comedy Drama
Robert Redford,John Turturro,Rob Morrow,Ralph Fiennes,History Drama,quiz show,John Turturro Rob Morrow Ralph Fiennes Robert Redford History Drama
Kayo Hatta,Youki Kudoh,Akira Takayama,Tamlyn Tomita,Drama History,picture bride,Youki Kudoh Akira Takayama Tamlyn Tomita Kayo Hatta Drama History
Patrice Chéreau,Isabelle Adjani,Daniel Auteuil,Jean-Hugues Anglade,Drama History,queen margot,Isabelle Adjani Daniel Auteuil Jean-Hugues Anglade Patrice Chéreau Drama History
Peter Yates,Peter Falk,D. B. Sweeney,Julianne Moore,Drama Comedy,roommates,Peter Falk D. B. Sweeney Julianne Moore Peter Yates Drama Comedy
Robert Altman,Marcello Mastroianni,Sophia Loren,Jean-Pierre Cassel,Drama Comedy,prêt-à-porter,Marcello Mastroianni Sophia Loren Jean-Pierre Cassel Robert Altman Drama Comedy
Krzysztof Kie?lowski,Irène Jacob,Jean-Louis Trintignant,Jean-Pierre Lorit,Drama Mystery Romance,three colors: red,Irène Jacob Jean-Louis Trintignant Jean-Pierre Lorit Krzysztof Kie?lowski Drama Mystery Romance
Krzysztof Kie?lowski,Juliette Binoche,Benoît Régent,Florence Pernel,Drama Music Mystery,three colors: blue,Juliette Binoche Benoît Régent Florence Pernel Krzysztof Kie?lowski Drama Music Mystery
Krzysztof Kie?lowski,Zbigniew Zamachowski,Julie Delpy,Janusz Gajos,Comedy Drama Mystery,three colors: white,Zbigniew Zamachowski Julie Delpy Janusz Gajos Krzysztof Kie?lowski Comedy Drama Mystery
Fred Gerber,Leslie Nielsen,Christopher Lloyd,Matt McCoy,Comedy Family TV Movie,rent-a-kid,Leslie Nielsen Christopher Lloyd Matt McCoy Fred Gerber Comedy Family TV Movie
George Mihalka,Darlanne Fluegel,James Brolin,Martin Neufeld,Horror Drama,relative fear,Darlanne Fluegel James Brolin Martin Neufeld George Mihalka Horror Drama
Harold Ramis,Al Franken,Laura San Giacomo,Vincent D'Onofrio,Comedy Drama,stuart saves his family,Al Franken Laura San Giacomo Vincent D'Onofrio Harold Ramis Comedy Drama
Richard Rich,Michelle Nicastro,Jack Palance,Howard McGillin,Animation,the swan princess,Michelle Nicastro Jack Palance Howard McGillin Richard Rich Animation
John Sayles,Jeni Courtney,Eileen Colgan,Mick Lally,Drama Family Fantasy,the secret of roan inish,Jeni Courtney Eileen Colgan Mick Lally John Sayles Drama Family Fantasy
Luis Llosa,Sylvester Stallone,Sharon Stone,James Woods,Action Thriller,the specialist,Sylvester Stallone Sharon Stone James Woods Luis Llosa Action Thriller
Roland Emmerich,Kurt Russell,James Spader,Jaye Davidson,Action Adventure Sci-Fi,stargate,Kurt Russell James Spader Jaye Davidson Roland Emmerich Action Adventure Sci-Fi
John Pasquin,Tim Allen,Judge Reinhold,Wendy Crewson,Fantasy Drama Comedy Family,the santa clause,Tim Allen Judge Reinhold Wendy Crewson John Pasquin Fantasy Drama Comedy Family
Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,Drama Crime,the shawshank redemption,Tim Robbins Morgan Freeman Bob Gunton Frank Darabont Drama Crime
Danny Boyle,Kerry Fox,Christopher Eccleston,Ewan McGregor,Crime Thriller,shallow grave,Kerry Fox Christopher Eccleston Ewan McGregor Danny Boyle Crime Thriller
Scott McGehee David Siegel,Dennis Haysbert,Michael Harris,Mel Harris,Drama Thriller,suture,Dennis Haysbert Michael Harris Mel Harris Scott McGehee David Siegel Drama Thriller
Tomás Gutiérrez Alea Juan Carlos Tabío,Jorge Perugorría,Vladimir Cruz,Mirta Ibarra,Comedy Drama,strawberry and chocolate,Jorge Perugorría Vladimir Cruz Mirta Ibarra Tomás Gutiérrez Alea Juan Carlos Tabío Comedy Drama
George Huang,Kevin Spacey,Frank Whaley,Michelle Forbes,Crime Comedy,swimming with sharks,Kevin Spacey Frank Whaley Michelle Forbes George Huang Crime Comedy
Kevin Dowling Geoff Burton,Jack Thompson,John Polson,Deborah Kennedy,Comedy Drama Romance,the sum of us,Jack Thompson John Polson Deborah Kennedy Kevin Dowling Geoff Burton Comedy Drama Romance
Kelly Makin,Matt Frewer,Valerie Mahaffey,Lawrence Dane,Comedy,senior trip,Matt Frewer Valerie Mahaffey Lawrence Dane Kelly Makin Comedy
Zhang Yimou,Ge You,Gong Li,Niu Ben,Drama Romance War,to live,Ge You Gong Li Niu Ben Zhang Yimou Drama Romance War
Rachel Talalay,Lori Petty,Ice-T,Naomi Watts,Action Comedy Fantasy Sci-Fi,tank girl,Lori Petty Ice-T Naomi Watts Rachel Talalay Action Comedy Fantasy Sci-Fi
Ernest R. Dickerson,Billy Zane,William Sadler,Jada Pinkett Smith,Horror Comedy Thriller,tales from the crypt: demon knight,Billy Zane William Sadler Jada Pinkett Smith Ernest R. Dickerson Horror Comedy Thriller
David Carson,Patrick Stewart,Jonathan Frakes,Brent Spiner,Sci-Fi Action Adventure Thriller,star trek: generations,Patrick Stewart Jonathan Frakes Brent Spiner David Carson Sci-Fi Action Adventure Thriller
Rusty Cundieff,Clarence Williams III,Corbin Bernsen,David Alan Grier,Crime Horror Thriller,tales from the hood,Clarence Williams III Corbin Bernsen David Alan Grier Rusty Cundieff Crime Horror Thriller
Brian Gilbert,Willem Dafoe,Miranda Richardson,Rosemary Harris,Drama Romance,tom & viv,Willem Dafoe Miranda Richardson Rosemary Harris Brian Gilbert Drama Romance
Peter Segal,Chris Farley,David Spade,Brian Dennehy,Comedy,tommy boy,Chris Farley David Spade Brian Dennehy Peter Segal Comedy
Louis Malle,Wallace Shawn,Julianne Moore,Larry Pine,Drama Romance,vanya on 42nd street,Wallace Shawn Julianne Moore Larry Pine Louis Malle Drama Romance
Lasse Hallström,Johnny Depp,Leonardo DiCaprio,Juliette Lewis,Romance Drama,what's eating gilbert grape,Johnny Depp Leonardo DiCaprio Juliette Lewis Lasse Hallström Romance Drama
Brett Leonard,Denzel Washington,Russell Crowe,Kelly Lynch,Action Crime Sci-Fi Thriller,virtuosity,Denzel Washington Russell Crowe Kelly Lynch Brett Leonard Action Crime Sci-Fi Thriller
Jon Turteltaub,Sandra Bullock,Bill Pullman,Peter Gallagher,Comedy Drama Romance,while you were sleeping,Sandra Bullock Bill Pullman Peter Gallagher Jon Turteltaub Comedy Drama Romance
Mina Shum,Sandra Oh,Stephen Chang,Alannah Ong,Comedy Romance,double happiness,Sandra Oh Stephen Chang Alannah Ong Mina Shum Comedy Romance
P.J. Hogan,Toni Collette,Bill Hunter,Rachel Griffiths,Drama Comedy Romance,muriel's wedding,Toni Collette Bill Hunter Rachel Griffiths P.J. Hogan Drama Comedy Romance
Melanie Mayron,Schuyler Fisk,Bre Blair,Rachael Leigh Cook,Comedy Drama Family,the baby-sitters club,Schuyler Fisk Bre Blair Rachael Leigh Cook Melanie Mayron Comedy Drama Family
Tom Shadyac,Jim Carrey,Sean Young,Courteney Cox,Comedy Mystery,ace ventura: pet detective,Jim Carrey Sean Young Courteney Cox Tom Shadyac Comedy Mystery
Stephan Elliott,Terence Stamp,Hugo Weaving,Guy Pearce,Drama Comedy,"the adventures of priscilla, queen of the desert",Terence Stamp Hugo Weaving Guy Pearce Stephan Elliott Drama Comedy
Iain Softley,Stephen Dorff,Ian Hart,Sheryl Lee,Drama Music,backbeat,Stephen Dorff Ian Hart Sheryl Lee Iain Softley Drama Music
Roman Polanski,Hugh Grant,Kristin Scott Thomas,Emmanuelle Seigner,Thriller Drama Romance,bitter moon,Hugh Grant Kristin Scott Thomas Emmanuelle Seigner Roman Polanski Thriller Drama Romance
Woody Allen,John Cusack,Dianne Wiest,Jennifer Tilly,Action Comedy Thriller,bullets over broadway,John Cusack Dianne Wiest Jennifer Tilly Woody Allen Action Comedy Thriller
Phillip Noyce,Harrison Ford,Willem Dafoe,Anne Archer,Action Drama Thriller,clear and present danger,Harrison Ford Willem Dafoe Anne Archer Phillip Noyce Action Drama Thriller
Jessie Nelson,Whoopi Goldberg,Ray Liotta,Tina Majorino,Comedy Drama Family Romance,"corrina, corrina",Whoopi Goldberg Ray Liotta Tina Majorino Jessie Nelson Comedy Drama Family Romance
Spike Lee,Alfre Woodard,Delroy Lindo,David Patrick Kelly,Comedy Drama,crooklyn,Alfre Woodard Delroy Lindo David Patrick Kelly Spike Lee Comedy Drama
Alex Proyas,Brandon Lee,Rochelle Davis,Ernie Hudson,Fantasy Action Thriller,the crow,Brandon Lee Rochelle Davis Ernie Hudson Alex Proyas Fantasy Action Thriller
Ron Shelton,Tommy Lee Jones,Robert Wuhl,Lolita Davidovich,Drama,cobb,Tommy Lee Jones Robert Wuhl Lolita Davidovich Ron Shelton Drama
Brian Levant,John Goodman,Elizabeth Perkins,Rick Moranis,Fantasy Comedy Family,the flintstones,John Goodman Elizabeth Perkins Rick Moranis Brian Levant Fantasy Comedy Family
Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Comedy Drama Romance,forrest gump,Tom Hanks Robin Wright Gary Sinise Robert Zemeckis Comedy Drama Romance
Mike Newell,Hugh Grant,Andie MacDowell,James Fleet,Comedy Drama Romance,four weddings and a funeral,Hugh Grant Andie MacDowell James Fleet Mike Newell Comedy Drama Romance
John Singleton,Omar Epps,Kristy Swanson,Michael Rapaport,Romance Drama Crime,higher learning,Omar Epps Kristy Swanson Michael Rapaport John Singleton Romance Drama Crime
Darnell Martin,Lauren Vélez,Jon Seda,Tomas Melly,Comedy Drama Romance,i like it like that,Lauren Vélez Jon Seda Tomas Melly Darnell Martin Comedy Drama Romance
Andrew Bergman,Nicolas Cage,Bridget Fonda,Rosie Perez,Comedy Drama Romance,it could happen to you,Nicolas Cage Bridget Fonda Rosie Perez Andrew Bergman Comedy Drama Romance
Ray Müller,Leni Riefenstahl,Marlene Dietrich,Walter Frentz,Documentary Foreign,"the wonderful, horrible life of leni riefenstahl",Leni Riefenstahl Marlene Dietrich Walter Frentz Ray Müller Documentary Foreign
Roger Allers Rob Minkoff,Jonathan Taylor Thomas,Matthew Broderick,James Earl Jones,Family Animation Drama,the lion king,Jonathan Taylor Thomas Matthew Broderick James Earl Jones Roger Allers Rob Minkoff Family Animation Drama
Bernardo Bertolucci,Keanu Reeves,Bridget Fonda,Chris Isaak,Drama History,little buddha,Keanu Reeves Bridget Fonda Chris Isaak Bernardo Bertolucci Drama History
Wes Craven,Heather Langenkamp,Robert Englund,Miko Hughes,Horror Thriller Mystery Fantasy,new nightmare,Heather Langenkamp Robert Englund Miko Hughes Wes Craven Horror Thriller Mystery Fantasy
Richard Donner,Mel Gibson,Jodie Foster,James Garner,Action Adventure Comedy Drama Western,maverick,Mel Gibson Jodie Foster James Garner Richard Donner Action Adventure Comedy Drama Western
Alan Rudolph,Jennifer Jason Leigh,Campbell Scott,Matthew Broderick,Drama,mrs. parker and the vicious circle,Jennifer Jason Leigh Campbell Scott Matthew Broderick Alan Rudolph Drama
Peter Segal,Leslie Nielsen,Priscilla Presley,George Kennedy,Comedy Crime,the naked gun 33?: the final insult,Leslie Nielsen Priscilla Presley George Kennedy Peter Segal Comedy Crime
Ron Howard,Michael Keaton,Robert Duvall,Glenn Close,Comedy Drama,the paper,Michael Keaton Robert Duvall Glenn Close Ron Howard Comedy Drama
